duration_ms,explicit,track_genre,popularity
379982,False,drum-and-bass,38
143957,False,songwriter,0
189000,False,edm,0
113536,False,show-tunes,21
196904,False,electronic,48
132120,False,emo,58
502440,False,detroit-techno,9
173251,False,deep-house,65
218400,False,electronic,50
198706,False,psych-rock,65
200389,False,electronic,1
153471,False,deep-house,52
193146,False,electro,0
126793,False,piano,56
136813,False,hardcore,32
206896,True,anime,42
193586,False,j-rock,34
181813,False,party,0
186786,False,swedish,65
287403,False,trip-hop,42
279240,True,french,35
236866,False,kids,10
201000,False,rock-n-roll,37
199080,False,alternative,83
158800,False,death-metal,22
294040,False,goth,42
193200,False,j-pop,42
274403,False,metalcore,56
131688,False,cantopop,30
199314,False,house,54
252626,True,trip-hop,21
232906,False,hip-hop,70
208026,False,samba,41
122772,True,alternative,0
223466,False,breakbeat,13
223093,False,spanish,32
146400,False,chill,52
203680,False,disco,70
460800,False,electronic,54
185480,False,latino,0
214388,True,french,33
238367,True,chill,41
170000,False,forro,44
181365,False,soul,0
205394,False,metal,72
242946,False,j-pop,36
245706,False,mandopop,50
229488,False,electronic,37
180984,False,forro,39
117346,False,romance,0
205320,True,drum-and-bass,47
173146,False,tango,20
207413,True,indie-pop,73
75160,False,disney,24
257253,False,show-tunes,25
238866,False,acoustic,27
295209,False,r-n-b,42
173531,False,afrobeat,17
294057,False,metal,39
127467,False,ambient,28
86206,False,folk,54
231724,False,pop-film,31
250933,False,folk,63
326400,False,breakbeat,40
603683,False,detroit-techno,5
280923,False,party,24
177453,False,dub,27
180480,False,kids,12
208561,False,house,71
828746,False,groove,33
217879,False,dubstep,46
161970,False,chill,9
159613,False,new-age,50
394040,False,gospel,40
109805,False,honky-tonk,11
159165,False,romance,14
181200,False,honky-tonk,10
171173,False,rock-n-roll,36
216053,False,singer-songwriter,82
303000,False,cantopop,20
242119,True,german,38
178010,False,folk,43
436474,False,minimal-techno,17
209674,False,party,29
282973,False,ambient,44
204000,False,disney,21
196973,False,j-dance,18
288365,False,indian,52
206117,False,hip-hop,74
341769,False,disco,0
186151,False,party,37
245093,False,opera,21
201000,False,edm,70
257972,False,pop,70
233901,True,hip-hop,82
216933,False,rock,82
175480,False,songwriter,64
283800,True,blues,81
213720,True,comedy,25
188533,False,reggae,64
433508,False,trance,0
170852,False,electro,74
261959,False,punk,73
200573,False,opera,22
269295,False,sad,57
270164,False,gospel,41
259854,False,ambient,45
333720,False,opera,19
272391,False,world-music,33
228280,False,metal,71
271666,False,mandopop,46
264977,False,cantopop,29
112426,False,punk-rock,0
230448,True,r-n-b,64
257013,False,cantopop,49
302640,False,techno,36
193050,False,party,23
177280,False,alt-rock,1
114160,False,british,8
296960,False,brazil,45
171533,False,power-pop,25
238280,False,turkish,38
232066,False,honky-tonk,18
172375,True,punk-rock,64
182360,False,honky-tonk,48
180848,False,psych-rock,54
183000,False,songwriter,67
333771,False,chicago-house,48
158487,False,tango,19
127586,False,children,32
170831,True,reggae,45
397586,False,soul,1
198000,False,trance,37
212412,False,hip-hop,66
237626,False,disco,33
281921,False,techno,26
224493,False,forro,51
148953,False,disney,60
157333,False,grunge,78
232966,False,k-pop,70
319586,False,grunge,38
237426,False,cantopop,25
209146,True,latino,1
230280,False,spanish,77
232826,False,afrobeat,30
196012,False,trance,2
218533,False,metalcore,58
146891,False,electro,50
138197,False,disney,27
66913,False,club,41
264506,False,mpb,51
199572,False,afrobeat,46
245250,False,dub,52
290400,False,pop-film,59
213333,False,latin,0
245250,False,dubstep,45
217649,False,idm,10
149168,False,turkish,48
263400,False,afrobeat,18
235524,False,indian,0
171093,False,bluegrass,29
332786,False,blues,33
172080,True,british,57
238870,False,dubstep,54
140698,False,deep-house,0
175573,False,sertanejo,50
232680,False,brazil,44
288696,False,indian,66
233506,False,guitar,36
223386,False,opera,27
176466,False,garage,53
133733,True,comedy,25
234323,False,edm,0
197946,False,electro,73
218000,False,progressive-house,53
201573,False,bluegrass,22
148218,False,hardstyle,22
148400,False,acoustic,63
186973,True,industrial,52
374733,False,industrial,27
201493,True,comedy,52
259800,False,metal,55
228506,False,indie-pop,44
213351,False,mpb,43
250346,False,world-music,46
247510,False,songwriter,49
272000,False,trance,47
39733,False,children,30
212903,True,reggaeton,46
217493,False,rock,0
169653,False,jazz,0
194040,True,punk,40
139124,False,sleep,31
233386,True,house,76
139384,False,chill,60
316800,False,bluegrass,29
418311,False,breakbeat,14
134769,False,malay,45
292771,False,indian,41
376093,False,ambient,55
433066,False,trance,44
124093,False,new-age,21
154960,False,mpb,0
212640,False,anime,34
317426,False,hard-rock,73
412960,False,blues,56
230000,False,reggae,73
165243,False,guitar,46
224142,False,romance,7
354146,False,happy,19
155960,False,latino,7
175933,False,show-tunes,23
206166,False,dance,78
290300,False,world-music,40
257881,False,indie-pop,72
207157,True,dancehall,58
214500,False,singer-songwriter,60
164393,False,party,29
263866,False,mandopop,25
131479,False,power-pop,22
221000,False,new-age,46
187200,False,folk,49
247825,False,synth-pop,26
272266,False,r-n-b,0
269906,False,british,75
170893,False,j-dance,22
229033,False,indie,0
171093,False,latino,2
253986,False,world-music,39
228645,False,drum-and-bass,49
180000,True,french,0
207904,False,dance,0
193561,True,j-dance,18
315520,False,mpb,42
147789,False,house,56
247160,False,electro,85
163733,False,dance,71
233661,False,mpb,44
194666,False,club,37
284360,False,pagode,43
396503,False,chicago-house,12
234666,False,j-rock,36
248854,False,world-music,53
195813,False,rockabilly,25
285413,False,detroit-techno,45
205200,False,hip-hop,59
158474,False,chill,67
202906,False,electro,68
190789,False,bluegrass,28
317266,False,world-music,59
210346,False,dubstep,46
189066,False,metalcore,28
269280,False,show-tunes,26
261559,False,pop-film,59
204000,False,iranian,13
184000,False,minimal-techno,19
262266,False,trip-hop,55
170480,False,hardcore,31
195424,False,cantopop,55
274480,False,brazil,45
260403,False,j-pop,35
193253,False,indie-pop,65
452903,False,trance,27
188787,False,romance,0
379346,False,iranian,0
241500,False,songwriter,45
234573,False,power-pop,20
193959,True,turkish,38
227520,False,indie,0
194866,False,spanish,78
224533,False,reggae,49
173571,True,progressive-house,47
106053,False,classical,0
186666,True,dancehall,0
365672,False,indian,54
215040,True,alternative,0
227280,False,garage,34
265293,False,trip-hop,21
218906,False,grunge,63
156765,True,dancehall,37
159500,False,sleep,52
175053,False,grunge,56
180000,False,sleep,36
247800,False,latin,1
244004,False,rock,73
239053,False,party,0
364460,True,death-metal,41
336133,False,industrial,22
345000,False,breakbeat,11
170960,False,ska,35
184440,False,mpb,41
202106,False,grunge,25
194826,False,alt-rock,59
113912,False,pagode,52
97050,False,chill,59
260519,False,indie-pop,75
171512,False,pagode,46
139093,False,tango,17
156800,False,forro,45
331266,False,metal,81
256486,False,hard-rock,58
112236,False,sad,49
183483,False,techno,24
235000,False,malay,22
296026,False,latin,2
164307,True,indie,51
251160,False,mandopop,46
208400,False,singer-songwriter,54
163000,False,mpb,40
136080,False,tango,17
268560,False,mandopop,52
301920,False,grunge,83
375613,False,groove,25
397500,False,minimal-techno,42
193981,False,psych-rock,56
148066,True,hardcore,55
237354,False,sertanejo,47
188406,False,punk-rock,40
251593,False,trip-hop,52
492266,False,trip-hop,44
110626,False,garage,27
83809,False,ambient,27
212068,False,classical,32
168266,False,classical,1
176960,False,disco,0
246828,False,gospel,40
235894,False,sleep,64
322506,False,pop,64
210000,False,swedish,37
234330,False,electronic,1
112105,True,electro,0
342840,False,goth,30
419360,False,chicago-house,14
207120,False,ska,36
244986,False,mandopop,46
174266,False,salsa,32
280581,False,hardstyle,23
205373,False,party,28
240106,False,opera,21
94573,False,disney,19
265426,False,samba,38
295920,False,ambient,42
203773,False,latin,0
189178,False,kids,8
127306,False,rockabilly,34
168000,False,study,44
234280,False,classical,0
283786,False,metal,70
295906,False,breakbeat,13
191226,False,rock-n-roll,33
218573,False,trance,58
269695,False,club,42
79843,False,grindcore,14
171093,False,reggae,2
155733,False,ambient,53
157068,False,dancehall,26
153210,False,pop,69
255506,False,edm,0
146400,False,alternative,6
216360,False,tango,20
293333,False,groove,52
383893,False,alternative,0
284247,False,punk,40
236533,False,trip-hop,20
176866,False,garage,40
340066,False,pop-film,58
229271,False,turkish,38
160669,False,groove,64
249746,False,party,28
243200,False,dubstep,43
156550,False,forro,41
236253,False,anime,48
225266,False,black-metal,17
242666,False,cantopop,41
190512,False,groove,56
176658,False,dance,86
287188,False,trance,43
290106,False,grunge,62
250247,False,death-metal,21
161377,False,forro,40
257693,True,afrobeat,19
262533,False,punk-rock,37
166346,False,dance,0
259274,False,gospel,38
244053,False,cantopop,48
223092,False,indie-pop,63
187857,False,spanish,30
178678,False,latino,48
384835,False,anime,35
265156,False,mandopop,55
173306,False,dance,82
201333,False,heavy-metal,36
291160,False,synth-pop,23
402826,False,pagode,51
193706,False,goth,22
188400,False,bluegrass,25
184836,False,progressive-house,67
145933,False,grindcore,13
245137,True,industrial,54
